family,model_id,n_events,n_relevance_items,n_role_items,taskA_relevance_BA,taskA_ci_low,taskA_ci_high,taskB_role_BA,taskB_ci_low,taskB_ci_high,gap,gap_ci_low,gap_ci_high,taskB_paraphrase_BA,taskB_findingonly_BA,taskB_narrativeonly_BA,taskA_unparsed,taskB_unparsed,s0_all
qwen,Qwen/Qwen3-8B,600,2390,2149,0.5619317293192434,0.5346,0.59,0.5441,0.5251,0.5633,0.0178,-0.0148,0.0505,0.5102,0.6182,0.4981,0,0,False
gemma,google/gemma-3-12b-it,600,2390,2149,0.536841414225279,0.5146,0.5605,0.5465,0.5339,0.559,-0.0097,-0.0346,0.0163,0.6022,0.5507,0.4992,0,0,False
llama,NousResearch/Meta-Llama-3.1-8B-Instruct,600,2390,2149,0.6345120474832451,0.5962,0.6713,0.5031,0.4989,0.5074,0.1314,0.0933,0.1682,0.4991,0.4995,0.0274,0,4,False
phi,microsoft/Phi-4-mini-instruct,600,2390,2149,0.5388620394702544,0.5047,0.573,0.5331,0.5195,0.5466,0.0058,-0.0298,0.0412,0.5,0.6083,0.5013,0,26,False
