family,frequency_accuracy,expected_value_accuracy,dominance_p_target,option_order_difference,gap_vs_probability,gap_vs_counts,positive_directed_gambles,family_pass
qwen,0.9710648148148148,0.3773148148148148,0.8008696644877394,0.4033337724037362,0.13369157408406965,0.0320753190618335,3,False
gemma,0.9143518518518519,0.36342592592592593,0.7566861814686692,0.4113577569475671,0.47219470316647655,0.015018226794280862,2,False
llama,0.7696759259259259,0.2523148148148148,0.5789264374309115,0.15052059963690462,0.20196442373303902,0.152814413783037,6,False
mistral,0.9363425925925926,0.29398148148148145,0.5751728659702672,0.24386651853651362,0.1318243275810447,0.006061739753931761,3,False
