family,comparison,base_r,aligned_r,delta_r,ci95_low,ci95_high,base_mass,aligned_mass,mass_gate,informative_gate,family_pass
qwen,native,0.5222679570949635,0.5192798655249468,0.002988091570016782,-0.018100724037237764,0.02490317386236674,0.8851134278566851,1.000000009959777,True,True,False
qwen,shared_plain,0.5222679570949635,0.33352912209056246,0.18873883500440108,0.15890719638194747,0.219318010934546,0.8851134278566851,0.9999999458715213,True,True,True
gemma,native,0.5016508283678647,0.2568645765003478,0.2447862518675169,0.20465719997534912,0.2847519881601642,0.827781686555576,0.9998452828733393,True,True,True
gemma,shared_plain,0.5016508283678647,0.3022020829922148,0.19944874537564988,0.1743780346312075,0.22447825412327677,0.827781686555576,0.8647965778060046,True,True,True
llama,native,0.48048670252117426,0.3433535112523688,0.13713319126880547,0.09784345853444511,0.17346746984183542,0.8307918263446864,0.999026098882471,True,True,True
llama,shared_plain,0.48048670252117426,0.44059394448031286,0.0398927580408614,0.02694040107356297,0.05354848771708293,0.8307918263446864,0.9562331334530811,True,True,False
smollm,native,0.2643723006640283,0.3557066756014455,-0.0913343749374172,-0.11844690895020789,-0.06282406575496788,0.8811756022148286,0.9169143885331287,True,True,False
smollm,shared_plain,0.2643723006640283,0.37075216675781436,-0.10637986609378608,-0.13861791505382073,-0.0737291469991127,0.8811756022148286,0.6846452431880021,False,True,False
